Interval,P1_2S1->wait3P1_2S1,P1_2S1->wait1P1_2S1,concourseLinkS1->concourseS1,concourseS1->concourseLinkS1,concourseS1->gate2S1,traindoor2P2S1->P1_2S1,car1P2S1->traindoor2P2S1,traindoor1P2S1->P1_2S1,car1P2S1->traindoor1P2S1,car1P1S1->seats1P1S1,traindoor2P1S1->P1_2S1,traindoor2P1S1->car1P1S1,car1P1S1->traindoor2P1S1,traindoor1P1S1->P1_2S1,P1_2S1->traindoor1P1S1,traindoor1P1S1->car1P1S1,car1P1S1->traindoor1P1S1,car3P2S1->traindoor6P2S1,P1_2S1->traindoor1P2S1,traindoor5P2S1->P1_2S1,P1_2S1->traindoor5P2S1,car3P2S1->traindoor5P2S1,car3P1S1->traindoor6P1S1,traindoor1P2S1->car1P2S1,traindoor5P1S1->P1_2S1,car1P2S1->seats1P2S1,traindoor6P1S1->car3P1S1,car2P2S2->seats2P2S1,P1_2S1->traindoor6P2S1,P1_2S1->traindoor5P1S1,car3P2S1->seats3P2S1,P1_2S1->traindoor4P2S1,traindoor2P2S1->car1P2S1,traindoor4P2S1->car2P2S2,P1_2S1->wait2P1_2S1,car2P2S2->traindoor4P2S1,P1_2S1->traindoor2P1S1,traindoor3P2S1->P1_2S1,P1_2S1->traindoor6P1S1,P1_2S1->traindoor3P2S1,traindoor3P2S1->car2P2S2,car2P2S2->traindoor3P2S1,traindoor6P1S1->P1_2S1,traindoor6P2S1->P1_2S1,car3P1S1->seats3P1S1,traindoor4P1S1->P1_2S1,car3P1S1->traindoor5P1S1,P1_2S1->concourseLinkS1,traindoor4P2S1->P1_2S1,P1_2S1->traindoor2P2S1,P1_2S1->traindoor4P1S1,traindoor4P1S1->car2P1S1,traindoor5P2S1->car3P2S1,traindoor5P1S1->car3P1S1,car2P1S1->traindoor4P1S1,traindoor3P1S1->P1_2S1,concourseS1->gate1S1,traindoor6P2S1->car3P2S1,car2P1S1->seats2P1S1,P1_2S1->traindoor3P1S1,traindoor3P1S1->car2P1S1,concourseLinkS1->P1_2S1,car2P1S1->traindoor3P1S1
#Location (x:y:z),65.2:0.02:-10,23.2:0.02:-10,4.5:0.02:-10,4.5:0.02:-10,2.5:0.02:-19.5,30.2:0.02:-5.4,30.2:0.02:-4.3,16.2:0.02:-5.4,16.2:0.02:-4.3,23.2:0.02:-18.7,30.2:0.02:-14.6,30.2:0.02:-15.7,30.2:0.02:-15.7,16.2:0.02:-14.6,16.2:0.02:-14.6,16.2:0.02:-15.7,16.2:0.02:-15.7,72.2:0.02:-4.3,16.2:0.02:-5.4,58.2:0.02:-5.4,58.2:0.02:-5.4,58.2:0.02:-4.3,72.2:0.02:-15.7,16.2:0.02:-4.3,58.2:0.02:-14.6,23.2:0.02:-1.3,72.2:0.02:-15.7,44.2:0.02:-1.3,72.2:0.02:-5.4,58.2:0.02:-14.6,65.2:0.02:-1.3,51.2:0.02:-5.4,30.2:0.02:-4.3,51.2:0.02:-4.3,44.2:0.02:-10,51.2:0.02:-4.3,30.2:0.02:-14.6,37.2:0.02:-5.4,72.2:0.02:-14.6,37.2:0.02:-5.4,37.2:0.02:-4.3,37.2:0.02:-4.3,72.2:0.02:-14.6,72.2:0.02:-5.4,65.2:0.02:-18.7,51.2:0.02:-14.6,58.2:0.02:-15.7,5.6:0.02:-10,51.2:0.02:-5.4,30.2:0.02:-5.4,51.2:0.02:-14.6,51.2:0.02:-15.7,58.2:0.02:-4.3,58.2:0.02:-15.7,51.2:0.02:-15.7,37.2:0.02:-14.6,2.5:0.02:-0.5,72.2:0.02:-4.3,44.2:0.02:-18.7,37.2:0.02:-14.6,37.2:0.02:-15.7,5.6:0.02:-10,37.2:0.02:-15.7
02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:57:00,1,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
02:58:00,4,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
02:59:00,4,15,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
03:00:00,11,11,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
03:01:00,9,11,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
03:02:00,12,13,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
