Interval,car3P3S2->seats3P3S2,car2P3S2->seats2P3S2,traindoor6P3S2->car3P3S2,P3_4S2->traindoor6P4S2,P3_4S2->traindoor6P3S2,traindoor5P4S2->P3_4S2,P3_4S2->traindoor3P4S2,car2P4S2->traindoor3P4S2,car3P4S2->seats3P4S2,P3_4S2->traindoor5P3S2,P3_4S2->traindoor4P3S2,traindoor4P3S2->car2P3S2,traindoor3P3S2->P3_4S2,traindoor6P3S2->P3_4S2,P3_4S2->traindoor3P3S2,P3_4S2->wait1P3_4S2,car3P2S2->seats3P2S2,traindoor5P3S2->car3P3S2,concourseP1_2S2->traindoor6P2S2,car3P2S2->traindoor6P2S2,traindoor5P2S2->concourseP1_2S2,concourseP1_2S2->traindoor5P2S2,traindoor4P2S2->concourseP1_2S2,car3P3S2->traindoor5P3S2,P3_4S2->traindoor5P4S2,traindoor4P2S2->car2P2S2,P3_4S2->wait3P3_4S2,car2P2S2->traindoor4P2S2,traindoor3P2S2->concourseP1_2S2,traindoor3P3S2->car2P3S2,concourseP1_2S2->traindoor3P2S2,traindoor3P2S2->car2P2S2,car2P2S2->traindoor3P2S2,escal1S2->concourseP1_2S2,P3_4S2->escal1S2,stairs1S2->concourseP1_2S2,traindoor6P4S2->P3_4S2,traindoor4P4S2->P3_4S2,concourseP1_2S2->stairs1S2,P3_4S2->wait2P3_4S2,stairs1S2->P3_4S2,traindoor2P2S2->car1P2S2,car1P2S2->traindoor2P2S2,concourseP1_2S2->traindoor1P2S2,traindoor5P2S2->car3P2S2,traindoor6P1S2->concourseP1_2S2,car1P2S2->seats1P2S2,traindoor6P1S2->car3P1S2,traindoor4P1S2->concourseP1_2S2,traindoor3P1S2->concourseP1_2S2,concourseP1_2S2->traindoor3P1S2,car2P1S2->traindoor4P1S2,traindoor3P1S2->car2P1S2,concourseP1_2S2->traindoor4P2S2,car2P1S2->traindoor3P1S2,car1P1S2->traindoor2P1S2,concourseP1_2S2->wait1P1_2S2,traindoor1P1S2->concourseP1_2S2,traindoor4P1S2->car2P1S2,concourseP1_2S2->traindoor1P1S2,concourseP1_2S2->traindoor2P2S2,concourseP1_2S2->traindoor4P1S2,concourseP1_2S2->gateS2,traindoor3P4S2->car2P4S2,traindoor1P2S2->concourseP1_2S2,traindoor2P4S2->P3_4S2,car2P4S2->seats2P4S2,traindoor5P4S2->car3P4S2,concourseP1_2S2->wait3P1_2S2,concourseP1_2S2->traindoor6P1S2,car3P1S2->traindoor5P1S2,traindoor5P3S2->P3_4S2,car3P3S2->traindoor6P3S2,traindoor2P4S2->car1P4S2,P3_4S2->traindoor2P4S2,P3_4S2->stairs1S2,traindoor2P1S2->concourseP1_2S2,car3P4S2->traindoor6P4S2,car1P4S2->traindoor2P4S2,car3P4S2->traindoor5P4S2,traindoor1P4S2->P3_4S2,traindoor4P4S2->car2P4S2,car3P1S2->seats3P1S2,escal2S2->P3_4S2,traindoor6P4S2->car3P4S2,traindoor1P4S2->car1P4S2,car1P4S2->traindoor1P4S2,car1P3S2->seats1P3S2,car2P3S2->traindoor4P3S2,car2P4S2->traindoor4P4S2,traindoor2P3S2->P3_4S2,P3_4S2->traindoor2P3S2,traindoor2P3S2->car1P3S2,concourseP1_2S2->escal2S2,traindoor1P2S2->car1P2S2,traindoor6P2S2->car3P2S2,traindoor1P3S2->car1P3S2,car1P1S2->seats1P1S2,traindoor2P1S2->car1P1S2,traindoor5P1S2->concourseP1_2S2,car1P4S2->seats1P4S2,car2P2S2->seats2P2S2,traindoor4P3S2->P3_4S2,car1P3S2->traindoor1P3S2,traindoor1P3S2->P3_4S2,car1P2S2->traindoor1P2S2,car1P1S2->traindoor1P1S2,escal3S2->P3_4S2,car2P1S2->seats2P1S2,stairs2S2->concourseP1_2S2,traindoor5P1S2->car3P1S2,car1P3S2->traindoor2P3S2,traindoor6P2S2->concourseP1_2S2,car2P3S2->traindoor3P3S2,concourseP1_2S2->stairs2S2,car3P1S2->traindoor6P1S2,concourseP1_2S2->traindoor5P1S2,P3_4S2->traindoor1P4S2,stairs2S2->P3_4S2,P3_4S2->stairs2S2,concourseP1_2S2->wait2P1_2S2,escal4S2->concourseP1_2S2,car3P2S2->traindoor5P2S2,traindoor2P2S2->concourseP1_2S2,traindoor1P1S2->car1P1S2,P3_4S2->traindoor1P3S2,concourseP1_2S2->escal3S2,traindoor3P4S2->P3_4S2,P3_4S2->traindoor4P4S2,P3_4S2->escal4S2,concourseP1_2S2->traindoor2P1S2
#Location (x:y:z),-15.3:5.02:54.3,-15.3:5.02:33.3,-18.3:5.02:61.3,-28.6:5.02:61.3,-19.4:5.02:61.3,-28.6:5.02:47.3,-28.6:5.02:26.3,-29.7:5.02:26.3,-32.7:5.02:54.3,-19.4:5.02:47.3,-19.4:5.02:40.3,-18.3:5.02:40.3,-19.4:5.02:26.3,-19.4:5.02:61.3,-19.4:5.02:26.3,-24:5.02:12.3,52:0.02:-0.5,-18.3:5.02:47.3,59:0.02:-4.6,59:0.02:-3.5,45:0.02:-4.6,45:0.02:-4.6,38:0.02:-4.6,-18.3:5.02:47.3,-28.6:5.02:47.3,38:0.02:-3.5,-24:5.02:54.3,38:0.02:-3.5,24:0.02:-4.6,-18.3:5.02:26.3,24:0.02:-4.6,24:0.02:-3.5,24:0.02:-3.5,-11.2:0.02:-11.95,-20.3:5.17:-11.95,-11.2:0.02:-9.2,-28.6:5.02:61.3,-28.6:5.02:40.3,-11.2:0.02:-9.2,-24:5.02:33.3,-20.3:5.17:-9.2,17:0.02:-3.5,17:0.02:-3.5,3:0.02:-4.6,45:0.02:-3.5,59:0.02:-13.8,10:0.02:-0.5,59:0.02:-14.9,38:0.02:-13.8,24:0.02:-13.8,24:0.02:-13.8,38:0.02:-14.9,24:0.02:-14.9,38:0.02:-4.6,24:0.02:-14.9,17:0.02:-14.9,10:0.02:-9.2,3:0.02:-13.8,38:0.02:-14.9,3:0.02:-13.8,17:0.02:-4.6,38:0.02:-13.8,-17.75:0.02:-38.7,-29.7:5.02:26.3,3:0.02:-4.6,-28.6:5.02:19.3,-32.7:5.02:33.3,-29.7:5.02:47.3,52:0.02:-9.2,59:0.02:-13.8,45:0.02:-14.9,-19.4:5.02:47.3,-18.3:5.02:61.3,-29.7:5.02:19.3,-28.6:5.02:19.3,-20.3:5.17:-9.2,17:0.02:-13.8,-29.7:5.02:61.3,-29.7:5.02:19.3,-29.7:5.02:47.3,-28.6:5.02:5.3,-29.7:5.02:40.3,52:0.02:-17.9,-20.3:5.17:-6.45,-29.7:5.02:61.3,-29.7:5.02:5.3,-29.7:5.02:5.3,-15.3:5.02:12.3,-18.3:5.02:40.3,-29.7:5.02:40.3,-19.4:5.02:19.3,-19.4:5.02:19.3,-18.3:5.02:19.3,-11.2:0.02:-6.45,3:0.02:-3.5,59:0.02:-3.5,-18.3:5.02:5.3,10:0.02:-17.9,17:0.02:-14.9,45:0.02:-13.8,-32.7:5.02:12.3,31:0.02:-0.5,-19.4:5.02:40.3,-18.3:5.02:5.3,-19.4:5.02:5.3,3:0.02:-3.5,3:0.02:-14.9,-21.25:5.17:-17.9,31:0.02:-17.9,-24:0.02:-25.5,45:0.02:-14.9,-18.3:5.02:19.3,59:0.02:-4.6,-18.3:5.02:26.3,-24:0.02:-25.5,59:0.02:-14.9,45:0.02:-13.8,-28.6:5.02:5.3,-24:5.17:-17.9,-24:5.17:-17.9,31:0.02:-9.2,-26.75:0.02:-25.5,45:0.02:-3.5,17:0.02:-4.6,3:0.02:-14.9,-19.4:5.02:5.3,-21.25:0.02:-25.5,-28.6:5.02:26.3,-28.6:5.02:40.3,-26.75:5.17:-17.9,17:0.02:-13.8
02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0
02:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,4,0,2,0,0,0,0,0,33,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,14,0,0,0,12,0,4,0,0,0,0,0,40,0,0,0,0
03:01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,21,0,0,0,21,0,11,0,0,0,0,0,50,0,0,0,0
03:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,16,0,0,0,16,0,22,0,0,0,0,0,41,0,0,0,0
