,gateS2,seats1P1S2,seats1P2S2,seats1P3S2,seats1P4S2,seats2P1S2,seats2P2S2,seats2P3S2,seats2P4S2,seats3P1S2,seats3P2S2,seats3P3S2,seats3P4S2,wait1P1_2S2,wait1P3_4S2,wait2P1_2S2,wait2P3_4S2,wait3P1_2S2,wait3P3_4S2
gateS2,0,42,150,57,72,63,87,32,22,137,106,154,183,0,0,0,0,0,0
seats1P1S2,100,0,4,3,0,0,7,0,0,0,11,6,9,0,0,0,0,0,0
seats1P2S2,71,1,0,1,0,2,0,0,0,4,0,1,4,0,0,0,0,0,0
seats1P3S2,110,0,8,0,0,2,1,0,0,2,6,0,8,0,0,0,0,0,0
seats1P4S2,104,0,5,2,0,2,7,1,0,4,4,7,0,0,0,0,0,0,0
seats2P1S2,88,0,9,0,0,0,7,0,0,0,17,5,2,0,0,0,0,0,0
seats2P2S2,81,0,0,3,0,2,0,0,0,1,0,4,2,0,0,0,0,0,0
seats2P3S2,106,0,9,0,0,3,2,0,0,1,1,0,5,0,0,0,0,0,0
seats2P4S2,102,1,10,2,0,2,3,1,0,5,8,11,0,0,0,0,0,0,0
seats3P1S2,101,0,4,2,0,0,3,0,0,0,8,2,3,0,0,0,0,0,0
seats3P2S2,90,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0
seats3P3S2,83,0,7,0,0,1,5,0,0,1,2,0,4,0,0,0,0,0,0
seats3P4S2,94,0,8,1,0,0,1,2,0,1,6,12,0,0,0,0,0,0,0
wait1P1_2S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait1P3_4S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P1_2S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P3_4S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P1_2S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P3_4S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#############
#
#StartTime,02:54:00
#EndTime,03:30:00
#AgentsStillInSim,1554
