Reference Event Name,Time Offset,Duration,Apply only to Reference Event,Key Token,Target Zone,Action,Give Tokens...
train1ArrivingP1,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train1ArrivingP1,0:00:46,,,,,back2SeatsTrainP1,
train2ArrivingP1,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train2ArrivingP1,0:00:46,,,,,back2SeatsTrainP1,
train3ArrivingP1,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train3ArrivingP1,0:00:46,,,,,back2SeatsTrainP1,
train4ArrivingP1,0:00:45,23:59:00,,trainTicketP1,,waitOnP1_2,
train4ArrivingP1,0:00:46,,,,,back2SeatsTrainP1,
train1ArrivingP2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train1ArrivingP2,0:00:46,,,,,back2SeatsTrainP2,
train2ArrivingP2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train2ArrivingP2,0:00:46,,,,,back2SeatsTrainP2,
train3ArrivingP2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train3ArrivingP2,0:00:46,,,,,back2SeatsTrainP2,
train4ArrivingP2,0:00:45,23:59:00,,trainTicketP2,,waitOnP1_2,
train4ArrivingP2,0:00:46,,,,,back2SeatsTrainP2,
train1ArrivingP3,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train1ArrivingP3,0:00:46,,,,,back2SeatsTrainP3,
train2ArrivingP3,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train2ArrivingP3,0:00:46,,,,,back2SeatsTrainP3,
train3ArrivingP3,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train3ArrivingP3,0:00:46,,,,,back2SeatsTrainP3,
train4ArrivingP3,0:00:45,23:59:00,,trainTicketP3,,waitOnP3_4,
train4ArrivingP3,0:00:46,,,,,back2SeatsTrainP3,
train1ArrivingP4,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train1ArrivingP4,0:00:46,,,,,back2SeatsTrainP4,
train2ArrivingP4,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train2ArrivingP4,0:00:46,,,,,back2SeatsTrainP4,
train3ArrivingP4,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train3ArrivingP4,0:00:46,,,,,back2SeatsTrainP4,
train4ArrivingP4,0:00:45,23:59:00,,trainTicketP4,,waitOnP3_4,
train4ArrivingP4,0:00:46,,,,,back2SeatsTrainP4,
