Reference Event Name,Time Offset,Duration,Apply only to Reference Event,Key Token,Target Zone,Pre Movement Duration,Location,Give Tokens...
train1ArrivingP1,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train2ArrivingP1,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train3ArrivingP1,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train4ArrivingP1,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train1ArrivingP2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train2ArrivingP2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train3ArrivingP2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train4ArrivingP2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train1ArrivingP3,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train2ArrivingP3,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train3ArrivingP3,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train4ArrivingP3,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train1ArrivingP4,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train2ArrivingP4,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train3ArrivingP4,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train4ArrivingP4,0:00:15,,,trainTicketP4,,,trainSeatsP4,
