Reference Event Name,Start Time,Duration,Location,Init Action,Give Tokens...
train1ArrivingP1,3:05:00,0:00:45,trainSeatsP1,,
train2ArrivingP1,3:09:00,0:00:45,trainSeatsP1,,
train3ArrivingP1,3:12:00,0:00:45,trainSeatsP1,,
train4ArrivingP1,3:15:00,0:00:45,trainSeatsP1,,
train1ArrivingP2,3:08:00,0:00:45,trainSeatsP2,,
train2ArrivingP2,3:13:00,0:00:45,trainSeatsP2,,
train3ArrivingP2,3:18:00,0:00:45,trainSeatsP2,,
train4ArrivingP2,3:23:00,0:00:45,trainSeatsP2,,
train1ArrivingP3,3:05:00,0:00:45,trainSeatsP3,,
train2ArrivingP3,3:11:00,0:00:45,trainSeatsP3,,
train3ArrivingP3,3:16:00,0:00:45,trainSeatsP3,,
train4ArrivingP3,3:21:00,0:00:45,trainSeatsP3,,
train1ArrivingP4,3:04:00,0:00:45,trainSeatsP4,,
train2ArrivingP4,3:08:00,0:00:45,trainSeatsP4,,
train3ArrivingP4,3:11:00,0:00:45,trainSeatsP4,,
train4ArrivingP4,3:14:00,0:00:45,trainSeatsP4,,
