Reference Event Name,Time Offset,Duration,Apply only to Reference Event,Key Token,Target Zone,Pre Movement Duration,Location,Give Tokens...
train0line3ArrivingP4S2,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train0line2ArrivingP1S2,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train0line4ArrivingP3S2,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train0line1ArrivingP2S2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train1line3ArrivingP4S2,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train1line2ArrivingP1S2,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train1line4ArrivingP3S2,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train2line3ArrivingP4S2,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train2line2ArrivingP1S2,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train1line1ArrivingP2S2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train3line3ArrivingP4S2,0:00:15,,,trainTicketP4,,,trainSeatsP4,
train3line2ArrivingP1S2,0:00:15,,,trainTicketP1,,,trainSeatsP1,
train2line4ArrivingP3S2,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train2line1ArrivingP2S2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
train3line4ArrivingP3S2,0:00:15,,,trainTicketP3,,,trainSeatsP3,
train3line1ArrivingP2S2,0:00:15,,,trainTicketP2,,,trainSeatsP2,
