Interval,car1P1S3->traindoor1P1S3,traindoor1P2S3->P1_2S3,traindoor1P2S3->car1P2S3,traindoor2P2S3->P1_2S3,car1P2S3->seats1P2S3,P1_2S3->traindoor1P1S3,concourseS3->stairsS3,stairsS3->P1_2S3,P1_2S3->stairsS3,concourseS3->gate1S3,P1_2S3->wait2P1_2S3,traindoor6P1S3->P1_2S3,P1_2S3->traindoor6P1S3,P1_2S3->traindoor1P2S3,car1P2S3->traindoor2P2S3,traindoor6P1S3->car3P1S3,traindoor5P1S3->P1_2S3,car3P1S3->traindoor5P1S3,traindoor1P1S3->car1P1S3,P1_2S3->traindoor2P2S3,traindoor4P1S3->P1_2S3,traindoor4P1S3->car2P1S3,car2P1S3->traindoor3P1S3,P1_2S3->traindoor4P1S3,car1P1S3->traindoor2P1S3,traindoor6P2S3->P1_2S3,concourseS3->gate2S3,traindoor6P2S3->car3P2S3,car3P2S3->traindoor6P2S3,traindoor2P1S3->P1_2S3,car1P2S3->traindoor1P2S3,P1_2S3->wait3P1_2S3,traindoor1P1S3->P1_2S3,car3P1S3->traindoor6P1S3,traindoor5P2S3->P1_2S3,P1_2S3->traindoor5P2S3,car2P1S3->traindoor4P1S3,stairsS3->concourseS3,car3P2S3->traindoor5P2S3,traindoor2P1S3->car1P1S3,traindoor4P2S3->car2P2S3,P1_2S3->traindoor2P1S3,P1_2S3->traindoor4P2S3,traindoor2P2S3->car1P2S3,P1_2S3->wait1P1_2S3,traindoor3P2S3->P1_2S3,traindoor5P2S3->car3P2S3,car3P2S3->seats3P2S3,car2P2S3->traindoor4P2S3,P1_2S3->traindoor6P2S3,P1_2S3->traindoor3P2S3,traindoor4P2S3->P1_2S3,traindoor3P2S3->car2P2S3,car2P2S3->traindoor3P2S3,traindoor5P1S3->car3P1S3,car2P2S3->seats2P2S3,traindoor3P1S3->car2P1S3,P1_2S3->traindoor3P1S3,car1P1S3->seats1P1S3,P1_2S3->traindoor5P1S3,car3P1S3->seats3P1S3,car2P1S3->seats2P1S3,traindoor3P1S3->P1_2S3
#Location (x:y:z),11:0.02:-10.7,11:0.02:-0.4,11:0.02:0.7,25:0.02:-0.4,18:0.02:3.7,11:0.02:-9.6,84.8:4.52:-5,79.7:0.02:-5,79.7:0.02:-5,89.5:4.52:-14.5,39:0.02:-5,67:0.02:-9.6,67:0.02:-9.6,11:0.02:-0.4,25:0.02:0.7,67:0.02:-10.7,53:0.02:-9.6,53:0.02:-10.7,11:0.02:-10.7,25:0.02:-0.4,46:0.02:-9.6,46:0.02:-10.7,32:0.02:-10.7,46:0.02:-9.6,25:0.02:-10.7,67:0.02:-0.4,89.5:4.52:4.5,67:0.02:0.7,67:0.02:0.7,25:0.02:-9.6,11:0.02:0.7,60:0.02:-5,11:0.02:-9.6,67:0.02:-10.7,53:0.02:-0.4,53:0.02:-0.4,46:0.02:-10.7,84.8:4.52:-5,53:0.02:0.7,25:0.02:-10.7,46:0.02:0.7,25:0.02:-9.6,46:0.02:-0.4,25:0.02:0.7,18:0.02:-5,32:0.02:-0.4,53:0.02:0.7,60:0.02:3.7,46:0.02:0.7,67:0.02:-0.4,32:0.02:-0.4,46:0.02:-0.4,32:0.02:0.7,32:0.02:0.7,53:0.02:-10.7,39:0.02:3.7,32:0.02:-10.7,32:0.02:-9.6,18:0.02:-13.7,53:0.02:-9.6,60:0.02:-13.7,39:0.02:-13.7,32:0.02:-9.6
02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:55:00,0,0,0,0,0,0,13,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:56:00,0,0,0,0,0,0,26,27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:57:00,0,0,0,0,0,0,44,36,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:58:00,0,0,0,0,0,0,45,50,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:59:00,0,0,0,0,0,0,45,43,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,62,60,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:01:00,2,0,0,0,0,57,41,42,38,7,49,23,3,0,0,3,22,23,54,0,40,0,8,0,52,0,16,0,0,50,0,39,2,23,0,0,42,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,7
03:02:00,0,0,0,0,0,0,46,47,23,11,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,56,0,0,0,0,0,29,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
