,gate1S3,gate2S3,seats1P1S3,seats1P2S3,seats2P1S3,seats2P2S3,seats3P1S3,seats3P2S3,wait1P1_2S3,wait2P1_2S3,wait3P1_2S3
gate1S3,0,0,65,19,14,0,6,0,0,0,0
gate2S3,0,0,66,17,18,0,3,0,0,0,0
seats1P1S3,45,37,0,14,0,0,0,0,0,0,0
seats1P2S3,9,15,0,0,0,0,0,0,0,0,0
seats2P1S3,51,50,0,20,0,0,0,0,0,0,0
seats2P2S3,24,21,0,0,0,0,0,0,0,0,0
seats3P1S3,42,52,0,17,0,0,0,0,0,0,0
seats3P2S3,37,46,0,0,0,0,0,0,0,0,0
wait1P1_2S3,0,0,0,0,0,0,0,0,0,0,0
wait2P1_2S3,0,0,0,0,0,0,0,0,0,0,0
wait3P1_2S3,0,0,0,0,0,0,0,0,0,0,0
#############
#
#StartTime,02:54:00
#EndTime,03:30:00
#AgentsStillInSim,1547
