From,To,Population,Time Offset,Curve,Avatar,Profile,Init Action,Give Tokens...
gateS3,train0line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
gateS3,train0line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
gateS3,train0line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line2ArrivingP1S3,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S3,gateS3,25,,,Green_LowPoly,DefaultProfile,,
train0line2ArrivingP1S3,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S3,gateS3,25,,,Orange_LowPoly,fatSlowLazy,,
train0line2ArrivingP1S3,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train0line2ArrivingP1S3,gateS3,25,,,Blue_LowPoly,slimFastActiv,,
gateS3,train1line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
gateS3,train1line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
gateS3,train1line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train1line2ArrivingP1S3,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train1line2ArrivingP1S3,gateS3,25,,,Green_LowPoly,DefaultProfile,,
train1line2ArrivingP1S3,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train1line2ArrivingP1S3,gateS3,25,,,Orange_LowPoly,fatSlowLazy,,
train1line2ArrivingP1S3,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train1line2ArrivingP1S3,gateS3,25,,,Blue_LowPoly,slimFastActiv,,
gateS3,train2line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
gateS3,train2line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
gateS3,train2line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train2line2ArrivingP1S3,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train2line2ArrivingP1S3,gateS3,25,,,Green_LowPoly,DefaultProfile,,
train2line2ArrivingP1S3,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train2line2ArrivingP1S3,gateS3,25,,,Orange_LowPoly,fatSlowLazy,,
train2line2ArrivingP1S3,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train2line2ArrivingP1S3,gateS3,25,,,Blue_LowPoly,slimFastActiv,,
gateS3,train3line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
gateS3,train3line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
gateS3,train3line2ArrivingP1S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train3line2ArrivingP1S3,trainSeatsP2,25,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
train3line2ArrivingP1S3,gateS3,25,,,Green_LowPoly,DefaultProfile,,
train3line2ArrivingP1S3,trainSeatsP2,25,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train3line2ArrivingP1S3,gateS3,25,,,Orange_LowPoly,fatSlowLazy,,
train3line2ArrivingP1S3,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
train3line2ArrivingP1S3,gateS3,25,,,Blue_LowPoly,slimFastActiv,,
gateS3,train0line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
gateS3,train0line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
gateS3,train0line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train0line1ArrivingP2S3,trainSeatsP1,12,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
train0line1ArrivingP2S3,gateS3,12,,,Green_LowPoly,DefaultProfile,,
train0line1ArrivingP2S3,trainSeatsP1,40,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train0line1ArrivingP2S3,gateS3,40,,,Orange_LowPoly,fatSlowLazy,,
train0line1ArrivingP2S3,trainSeatsP1,23,,,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP1
train0line1ArrivingP2S3,gateS3,23,,,Blue_LowPoly,slimFastActiv,,
gateS3,train1line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1_2,trainTicketP2
gateS3,train1line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP2
gateS3,train1line1ArrivingP2S3,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP2
train1line1ArrivingP2S3,trainSeatsP1,12,,,Green_LowPoly,DefaultProfile,waitOnP1_2,trainTicketP1
train1line1ArrivingP2S3,gateS3,12,,,Green_LowPoly,DefaultProfile,,
train1line1ArrivingP2S3,trainSeatsP1,40,,,Orange_LowPoly,fatSlowLazy,waitOnP1_2,trainTicketP1
train1line1ArrivingP2S3,gateS3,40,,,Orange_LowPoly,fatSlowLazy,,
