Interval,car3P1S4->seats3P1S4,traindoor6P1S4->P1S4,traindoor5P1S4->P1S4,traindoor6P2S4->P2S4,car3P2S4->traindoor6P2S4,P1S4->traindoor2P1S4,traindoor2P1S4->car1P1S4,traindoor5P1S4->car3P1S4,traindoor2P2S4->P2S4,P2S4->traindoor2P2S4,car2P1S4->seats2P1S4,P2S4->traindoor4P2S4,traindoor3P2S4->P2S4,car1P2S4->traindoor2P2S4,traindoor6P1S4->car3P1S4,P2S4->traindoor3P2S4,traindoor4P1S4->P1S4,P1S4->traindoor4P1S4,traindoor3P1S4->P1S4,P1S4->traindoor3P1S4,traindoor3P1S4->car2P1S4,traindoor4P2S4->P2S4,car3P2S4->traindoor5P2S4,car2P1S4->traindoor3P1S4,P2S4->wait1P2S4,traindoor2P2S4->car1P2S4,P2S4->wait2P2S4,car1P1S4->traindoor2P1S4,car2P2S4->traindoor3P2S4,P1S4->wait2P1S4,car3P1S4->traindoor6P1S4,P1S4->wait3P1S4,traindoor6P2S4->car3P2S4,P1S4->stairs1S4,car2P2S4->seats2P2S4,car3P1S4->traindoor5P1S4,stairs1S4->P1S4,stairs1S4->concourseS4,concourseS4->stairs1S4,P1S4->wait1P1S4,P2S4->stairs2S4,P2S4->wait3P2S4,concourseS4->stairs2S4,concourseS4->escal3S4,P2S4->escal4S4,car2P1S4->traindoor4P1S4,P1S4->escal2S4,car3P2S4->seats3P2S4,car1P1S4->seats1P1S4,traindoor4P2S4->car2P2S4,P2S4->traindoor5P2S4,escal3S4->P2S4,concourseS4->escal1S4,traindoor1P1S4->P1S4,traindoor4P1S4->car2P1S4,traindoor5P2S4->car3P2S4,traindoor1P1S4->car1P1S4,stairs2S4->P2S4,car1P1S4->traindoor1P1S4,escal2S4->concourseS4,traindoor2P1S4->P1S4,car1P2S4->seats1P2S4,car2P2S4->traindoor4P2S4,traindoor3P2S4->car2P2S4,concourseS4->gate1S4,P1S4->traindoor5P1S4,escal1S4->P1S4,concourseS4->gate2S4,P2S4->traindoor6P2S4,stairs2S4->concourseS4,traindoor1P2S4->P2S4,P2S4->traindoor1P2S4,traindoor1P2S4->car1P2S4,car1P2S4->traindoor1P2S4,P1S4->traindoor6P1S4,P1S4->traindoor1P1S4,escal4S4->concourseS4,traindoor5P2S4->P2S4
#Location (x:y:z),8.3:0.02:-15,12.4:0.02:-8,12.4:0.02:-22,-0.4:0.02:-8,0.7:0.02:-8,12.4:0.02:-50,11.3:0.02:-50,11.3:0.02:-22,-0.4:0.02:-50,-0.4:0.02:-50,8.3:0.02:-36,-0.4:0.02:-29,-0.4:0.02:-43,0.7:0.02:-50,11.3:0.02:-8,-0.4:0.02:-43,12.4:0.02:-29,12.4:0.02:-29,12.4:0.02:-43,12.4:0.02:-43,11.3:0.02:-43,-0.4:0.02:-29,0.7:0.02:-22,11.3:0.02:-43,-5:0.02:-57,0.7:0.02:-50,-5:0.02:-36,11.3:0.02:-50,0.7:0.02:-43,17:0.02:-36,11.3:0.02:-8,17:0.02:-15,0.7:0.02:-8,17:0.02:-87.7,3.7:0.02:-36,11.3:0.02:-22,17:0.02:-87.7,17:4.52:-93.8,17:4.52:-93.8,17:0.02:-57,-5:0.02:-87.7,-5:0.02:-15,-5:4.52:-93.8,-1:4.52:-93.8,-9:0.02:-87.7,11.3:0.02:-29,13:0.02:-87.7,3.7:0.02:-15,8.3:0.02:-57,0.7:0.02:-29,-0.4:0.02:-22,-1:0.02:-87.7,21:4.52:-93.8,12.4:0.02:-64,11.3:0.02:-29,0.7:0.02:-22,11.3:0.02:-64,-5:0.02:-87.7,11.3:0.02:-64,13:4.52:-93.8,12.4:0.02:-50,3.7:0.02:-57,0.7:0.02:-29,0.7:0.02:-43,30.5:4.52:-100.5,12.4:0.02:-22,21:0.02:-87.7,-18.5:4.52:-100.5,-0.4:0.02:-8,-5:4.52:-93.8,-0.4:0.02:-64,-0.4:0.02:-64,0.7:0.02:-64,0.7:0.02:-64,12.4:0.02:-8,12.4:0.02:-64,-9:4.52:-93.8,-0.4:0.02:-22
02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,8,0,0,0,0,0,0,0,7,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,12,0,0,0,0,0,0,0,11,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,14,0,0,0,0,0,0,0,14,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,19,0,0,0,0,0,0,0,17,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,18,0,0,0,0,0,0,0,18,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03:01:00,0,0,0,1,1,0,0,0,0,58,0,35,50,0,0,0,0,0,0,0,0,2,50,0,24,56,13,0,50,0,0,0,39,0,30,0,3,0,6,1,28,4,26,17,22,0,0,38,0,32,0,17,0,0,0,0,0,24,0,0,0,53,0,0,0,0,0,5,39,15,49,2,2,49,0,0,16,50
03:02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,27,0,0,8,0,5,0,0,0,0,31,0,28,10,33,17,35,7,29,0,0,0,0,0,0,10,0,0,0,0,0,39,0,0,0,0,0,0,17,0,0,19,0,45,0,0,0,0,0,0,31,0
