AgentID,Profile,Avatar,In_Time,Out_Time,In_Location,Out_Location,Target_Speed(m/s),Distance_Traveled(m),Congested_Duration(s),Total_Duration(s),LOS_A_Duration(s),LOS_B_Duration(s),LOS_C_Duration(s),LOS_D_Duration(s),LOS_E_Duration(s),LOS_F_Duration(s)
2064,slimFastActiv,Blue_LowPoly,02:57:17,03:01:19,gate1S4,seats3P2S4,2.87027,128.486,199.6,242.2,100,116.4,17.6,6.6,1.6,0
2076,slimFastActiv,Blue_LowPoly,02:57:35,03:01:19,gate2S4,seats3P2S4,2.1521,105.182,180,224.6,192,11.8,16,4.2,0.6,0
2125,fatSlowLazy,Orange_LowPoly,02:58:51,03:01:19,gate1S4,seats1P2S4,0.877242,92.0288,72,148.2,60.2,51.2,22.2,10.6,4,0
2065,slimFastActiv,Blue_LowPoly,02:57:18,03:01:20,gate1S4,seats2P2S4,2.99991,112.198,207.8,242,201.4,10.8,21,6.2,2.6,0
2102,slimFastActiv,Blue_LowPoly,02:58:16,03:01:20,gate2S4,seats3P2S4,1.96304,108.063,137,184.6,40.2,114,24.4,5.8,0.2,0
2096,slimFastActiv,Blue_LowPoly,02:58:08,03:01:21,gate2S4,seats1P2S4,1.99282,67.7307,165.4,192.8,84.8,24.2,70.8,9.6,3.4,0
2010,slimFastActiv,Blue_LowPoly,02:55:39,03:01:21,gate1S4,seats1P2S4,2.45329,86.0858,307.6,341.8,207,17.2,75.8,36.8,5,0
2033,fatSlowLazy,Orange_LowPoly,02:56:34,03:01:21,gate1S4,seats2P2S4,0.799747,108.941,168.4,286.8,69.2,170,40.6,7,0,0
2090,slimFastActiv,Blue_LowPoly,02:57:59,03:01:21,gate2S4,seats3P2S4,2.98837,110.134,168.8,201.6,28,156.2,12.2,3.4,1.8,0
2154,slimFastActiv,Blue_LowPoly,02:59:22,03:01:21,gate1S4,seats2P2S4,1.85059,111.015,71,119,75.6,4.8,23.8,12.6,2.2,0
2194,slimFastActiv,Blue_LowPoly,03:00:16,03:01:21,gate2S4,seats1P2S4,2.46858,68.5623,38.6,65,16.2,3.2,33.2,9.4,3,0
2075,slimFastActiv,Blue_LowPoly,02:57:34,03:01:21,gate1S4,seats3P2S4,2.92446,134.075,185.8,227.2,41.6,155.8,20,6.4,3.4,0
2166,slimFastActiv,Blue_LowPoly,02:59:42,03:01:21,gate1S4,seats2P2S4,2.30574,110.497,57.8,99.8,49.2,10.4,17.6,15.8,6.8,0
2094,slimFastActiv,Blue_LowPoly,02:58:04,03:01:22,gate2S4,seats2P2S4,2.62581,90.823,166.4,197.8,167,7,19.4,2.6,1.8,0
2029,slimFastActiv,Blue_LowPoly,02:56:22,03:01:22,gate2S4,seats2P2S4,2.78883,91.5946,268.2,300.4,120.2,50.8,120.4,5.4,3.4,0.2
2124,slimFastActiv,Blue_LowPoly,02:58:51,03:01:22,gate2S4,seats2P2S4,2.60962,87.3839,119.2,151.8,19.2,60,58.6,9.4,4,0.6
2139,slimFastActiv,Blue_LowPoly,02:59:05,03:01:22,gate1S4,seats3P2S4,2.40814,137.435,85.4,137.8,90.4,9.6,28.2,8.6,1,0
2120,slimFastActiv,Blue_LowPoly,02:58:47,03:01:23,gate1S4,seats3P2S4,1.97641,126.144,94.2,156,85.4,36.8,18.2,11.6,4,0
2023,fatSlowLazy,Orange_LowPoly,02:56:12,03:01:23,gate2S4,seats1P2S4,0.831028,88.2138,233.8,311.8,55.6,76.4,151.6,21,6,1.2
2031,fatSlowLazy,Orange_LowPoly,02:56:30,03:01:24,gate1S4,seats2P2S4,1.2037,108.68,220.8,293.4,67.8,29.6,172.8,19.4,3.8,0
2087,DefaultProfile,Green_LowPoly,02:57:51,03:01:24,gate1S4,seats3P2S4,1.40494,132.765,137.4,212.6,133.6,22.4,42.8,9.8,4,0
2015,DefaultProfile,Green_LowPoly,02:55:58,03:01:24,gate1S4,seats2P2S4,1.51064,111.053,263.2,326.8,102.8,37,57.6,121.6,7.8,0
2091,slimFastActiv,Blue_LowPoly,02:58:02,03:01:25,gate2S4,seats3P2S4,2.74726,112.382,162.8,203.2,28.6,151.2,16.8,3.6,3,0
2012,DefaultProfile,Green_LowPoly,02:55:42,03:01:25,gate2S4,seats3P2S4,1.28026,106.2,264.4,343.4,276,10.6,52.2,1,3.4,0.2
2028,slimFastActiv,Blue_LowPoly,02:56:16,03:01:25,gate2S4,seats1P2S4,2.85967,66.2129,283.6,309.4,34.2,37,176.2,51.6,6.2,4.2
2118,slimFastActiv,Blue_LowPoly,02:58:43,03:01:25,gate1S4,seats2P2S4,2.49436,137.703,110.8,162.2,102.8,10,33.8,9.6,6,0
2121,fatSlowLazy,Orange_LowPoly,02:58:48,03:01:25,gate2S4,seats3P2S4,1.30391,121.224,86,157.4,68.4,26.2,41,13.8,8,0
2163,DefaultProfile,Green_LowPoly,02:59:39,03:01:25,gate1S4,seats1P2S4,1.16998,85.3492,48.2,106.2,39.8,15.8,17.8,17.2,10.4,5.2
2133,DefaultProfile,Green_LowPoly,02:58:58,03:01:26,gate1S4,seats3P2S4,1.45589,142.492,70.2,148,51.2,38.8,34.4,21.4,2.2,0
2021,slimFastActiv,Blue_LowPoly,02:56:11,03:01:26,gate1S4,seats1P2S4,1.86048,86.9137,266.6,314.8,110.2,29.8,69.8,97.4,3.2,4.4
2092,fatSlowLazy,Orange_LowPoly,02:58:02,03:01:26,gate2S4,seats2P2S4,1.00536,110.439,134.6,204,47.2,74.8,52.6,24.2,5.2,0
2211,slimFastActiv,Blue_LowPoly,03:00:32,03:01:26,gate2S4,seats2P2S4,2.83543,108.034,18.6,54.6,21.4,8.4,12.6,9.6,2.6,0
2041,fatSlowLazy,Orange_LowPoly,02:56:48,03:01:26,gate2S4,seats1P2S4,0.678852,87.5175,184,278.4,53.8,74.6,109.4,30.6,7.8,2.2
2055,slimFastActiv,Blue_LowPoly,02:57:07,03:01:26,gate1S4,seats3P2S4,1.61626,127.137,178,259.6,191.2,18.4,36.8,6.6,4,2.6
2122,DefaultProfile,Green_LowPoly,02:58:48,03:01:27,gate1S4,seats1P2S4,1.36794,92.5997,96.4,158.4,48.4,4,39.6,52.6,8.6,5.2
2147,slimFastActiv,Blue_LowPoly,02:59:14,03:01:27,gate1S4,seats2P2S4,1.6223,114.505,70.6,133,45,8.4,30.8,39.4,3,6.4
2178,slimFastActiv,Blue_LowPoly,02:59:56,03:01:27,gate2S4,seats1P2S4,1.7076,66.8981,53.4,90.6,26.4,9.6,28.2,14.2,5.8,6.4
2059,slimFastActiv,Blue_LowPoly,02:57:11,03:01:27,gate2S4,seats1P2S4,1.78366,67.024,214.8,255.6,154.4,46.6,43.6,3.6,2,5.4
2026,slimFastActiv,Blue_LowPoly,02:56:14,03:01:27,gate2S4,seats1P2S4,2.94101,73.7379,285,313.6,90,10,179,27,1.8,5.8
2204,slimFastActiv,Blue_LowPoly,03:00:24,03:01:27,gate1S4,seats1P2S4,2.04585,84.0678,17.4,63.6,19.2,10.6,10.8,5,12.2,5.8
