Interval,car1P2S5->seats1P2S5,P2S5->traindoor1P2S5,traindoor2P2S5->P2S5,traindoor1P1S5->car1P1S5,car1P1S5->traindoor1P1S5,traindoor2P1S5->P1S5,car1P1S5->traindoor2P1S5,P2S5->wait3P2S5,P2S5->wait2P2S5,P2S5->wait1P2S5,traindoor6P2S5->P2S5,car3P2S5->traindoor6P2S5,P2S5->traindoor5P2S5,car3P2S5->seats3P2S5,P2S5->traindoor4P2S5,traindoor1P2S5->P2S5,car2P2S5->traindoor4P2S5,traindoor3P2S5->car2P2S5,car2P2S5->traindoor3P2S5,traindoor3P2S5->P2S5,car2P2S5->seats2P2S5,traindoor5P2S5->P2S5,traindoor3P1S5->car2P1S5,car2P1S5->traindoor3P1S5,traindoor4P1S5->P1S5,traindoor4P1S5->car2P1S5,P1S5->traindoor4P1S5,P1S5->traindoor5P1S5,traindoor2P2S5->car1P2S5,car3P1S5->traindoor5P1S5,traindoor1P1S5->P1S5,P1S5->traindoor6P1S5,car1P1S5->seats1P1S5,P1S5->traindoor2P1S5,car3P2S5->traindoor5P2S5,traindoor6P1S5->car3P1S5,car3P1S5->traindoor6P1S5,P1S5->wait3P1S5,P2S5->traindoor2P2S5,traindoor4P2S5->P2S5,P1S5->wait1P1S5,traindoor5P2S5->car3P2S5,concourse2S5->gate2S5,P2S5->traindoor6P2S5,escal8S5->concourse2S5,stairs4S5->concourse2S5,P1S5->traindoor1P1S5,P1S5->traindoor3P1S5,concourse2S5->stairs4S5,stairs4S5->P2S5,concourse1S5->escal1S5,car1P2S5->traindoor1P2S5,escal1S5->P1S5,car3P1S5->seats3P1S5,stairs1S5->concourse1S5,car1P2S5->traindoor2P2S5,P2S5->stairs4S5,concourse1S5->stairs1S5,stairs1S5->P1S5,P1S5->stairs1S5,traindoor6P2S5->car3P2S5,traindoor3P1S5->P1S5,escal2S5->concourse1S5,car2P1S5->seats2P1S5,P2S5->escal8S5,P1S5->escal2S5,car2P1S5->traindoor4P1S5,traindoor6P1S5->P1S5,P2S5->escal6S5,stairs3S5->P2S5,concourse2S5->escal7S5,P2S5->stairs3S5,traindoor5P1S5->car3P1S5,traindoor1P2S5->car1P2S5,bridgeS5->stairs3S5,stairs3S5->bridgeS5,traindoor4P2S5->car2P2S5,P1S5->wait2P1S5,escal7S5->P2S5,escal5S5->P2S5,bridgeS5->escal5S5,concourse1S5->gate1S5,stairs2S5->P1S5,P2S5->traindoor3P2S5,escal6S5->bridgeS5,P1S5->stairs2S5,P1S5->escal4S5,escal4S5->bridgeS5,bridgeS5->stairs2S5,traindoor2P1S5->car1P1S5,escal3S5->P1S5,bridgeS5->escal3S5,traindoor5P1S5->P1S5,stairs2S5->bridgeS5
#Location (x:y:z),8.3:0.02:-15,12.4:0.02:-8,12.4:0.02:-22,0.7:0.02:-8,0.7:0.02:-8,-0.4:0.02:-22,0.7:0.02:-22,17:0.02:-57,17:0.02:-36,17:0.02:-15,12.4:0.02:-64,11.3:0.02:-64,12.4:0.02:-50,8.3:0.02:-57,12.4:0.02:-43,12.4:0.02:-8,11.3:0.02:-43,11.3:0.02:-29,11.3:0.02:-29,12.4:0.02:-29,8.3:0.02:-36,12.4:0.02:-50,0.7:0.02:-29,0.7:0.02:-29,-0.4:0.02:-43,0.7:0.02:-43,-0.4:0.02:-43,-0.4:0.02:-50,11.3:0.02:-22,0.7:0.02:-50,-0.4:0.02:-8,-0.4:0.02:-64,3.7:0.02:-15,-0.4:0.02:-22,11.3:0.02:-50,0.7:0.02:-64,0.7:0.02:-64,-5:0.02:-57,12.4:0.02:-22,12.4:0.02:-43,-5:0.02:-15,11.3:0.02:-50,32.5:-2.98:7.5,12.4:0.02:-64,25.8:-2.98:4.5,25.8:-2.98:7.5,-0.4:0.02:-8,-0.4:0.02:-29,25.8:-2.98:7.5,21.2:0.02:7.5,-13.8:-2.98:4.5,11.3:0.02:-8,-9.2:0.02:4.5,3.7:0.02:-57,-13.8:-2.98:7.5,11.3:0.02:-22,21.2:0.02:7.5,-13.8:-2.98:7.5,-9.2:0.02:7.5,-9.2:0.02:7.5,11.3:0.02:-64,-0.4:0.02:-29,-13.8:-2.98:10.5,3.7:0.02:-36,21.2:0.02:4.5,-9.2:0.02:10.5,0.7:0.02:-43,-0.4:0.02:-64,21:0.02:19.2,17:0.02:19.2,25.8:-2.98:10.5,17:0.02:19.2,0.7:0.02:-50,11.3:0.02:-8,17:4.52:25.3,17:4.52:25.3,11.3:0.02:-43,-5:0.02:-36,21.2:0.02:10.5,13:0.02:19.2,13:4.52:25.3,-20.5:-2.98:7.5,-5:0.02:19.2,12.4:0.02:-29,21:4.52:25.3,-5:0.02:19.2,-1:0.02:19.2,-1:4.52:25.3,-5:4.52:25.3,0.7:0.02:-22,-9:0.02:19.2,-9:4.52:25.3,-0.4:0.02:-50,-5:4.52:25.3
02:54:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,2,0,0,0,1,0,0,8,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
02:55:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,9,0,13,4,0,0,0,4,0,4,12,0,0,0,7,0,7,0,0,0,6,0,3,3,0,0
02:56:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,1,1,22,0,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11,0,18,5,0,0,0,5,0,10,18,0,0,0,8,0,12,0,0,0,8,0,5,6,0,0
02:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,17,5,0,0,0,6,0,10,17,0,0,0,14,0,12,0,0,0,14,0,5,4,0,0
02:58:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,3,0,0,0,3,0,9,10,0,0,0,9,0,12,0,0,0,12,0,5,5,0,0
02:59:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,10,2,0,0,0,1,0,10,10,0,0,0,5,0,5,0,0,0,4,0,5,5,0,0
03:00:00,0,0,0,0,48,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,34,37,0,0,50,48,29,43,49,0,29,0,2,0,0,16,0,0,0,0,0,0,0,1,1,15,0,16,29,14,0,0,2,2,15,0,49,3,29,0,4,0,0,13,6,13,4,0,0,7,5,0,10,14,1,1,13,8,0,12,7,28,22,7,48,4,4,50,5
03:01:00,0,0,0,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,11,0,0,13,0,0,1,1,16,0,15,0,8,0,15,0,0,7,0,0,7,0,0,6,0,0,14,34,26,5,0,0,37,5,0,18,25,17,19,18,11,0,13,12,42,42,11,0,4,4,0,14
03:02:00,0,0,0,0,0,0,0,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,15,0,1,15,0,0,0,0,15,0,14,0,0,0,13,0,0,0,0,0,4,0,1,4,0,0,13,11,12,2,0,0,8,2,0,11,12,15,16,5,18,0,14,0,16,20,18,0,1,2,0,0
