,gate1S5,gate2S5,seats1P1S5,seats1P2S5,seats2P1S5,seats2P2S5,seats3P1S5,seats3P2S5,wait1P1S5,wait1P2S5,wait2P1S5,wait2P2S5,wait3P1S5,wait3P2S5
gate1S5,0,0,89,53,80,39,68,42,0,0,0,0,0,0
gate2S5,0,0,63,103,72,77,57,62,0,0,0,0,0,0
seats1P1S5,46,34,0,21,0,21,0,18,0,0,0,0,0,0
seats1P2S5,19,46,5,0,10,0,1,0,0,0,0,0,0,0
seats2P1S5,53,36,0,19,0,26,0,18,0,0,0,0,0,0
seats2P2S5,13,42,5,0,5,0,1,0,0,0,0,0,0,0
seats3P1S5,47,44,0,25,0,17,0,13,0,0,0,0,0,0
seats3P2S5,8,52,3,0,0,0,0,0,0,0,0,0,0,0
wait1P1S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait1P2S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P1S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait2P2S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P1S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wait3P2S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#############
#
#StartTime,02:54:00
#EndTime,03:30:00
#AgentsStillInSim,749
