Reference Event Name,Time Offset,Duration,Apply only to Reference Event,Key Token,Target Zone,Action,Give Tokens...
train0line4ArrivingP1S5,0:00:45,23:59:00,,trainTicketP1,,waitOnP1,
train0line4ArrivingP1S5,0:00:46,,,,,back2SeatsTrainP1,
train1line4ArrivingP1S5,0:00:45,23:59:00,,trainTicketP1,,waitOnP1,
train1line4ArrivingP1S5,0:00:46,,,,,back2SeatsTrainP1,
train2line4ArrivingP1S5,0:00:45,23:59:00,,trainTicketP1,,waitOnP1,
train2line4ArrivingP1S5,0:00:46,,,,,back2SeatsTrainP1,
train0line3ArrivingP2S5,0:00:45,23:59:00,,trainTicketP2,,waitOnP2,
train0line3ArrivingP2S5,0:00:46,,,,,back2SeatsTrainP2,
train1line3ArrivingP2S5,0:00:45,23:59:00,,trainTicketP2,,waitOnP2,
train1line3ArrivingP2S5,0:00:46,,,,,back2SeatsTrainP2,
train3line4ArrivingP1S5,0:00:45,23:59:00,,trainTicketP1,,waitOnP1,
train3line4ArrivingP1S5,0:00:46,,,,,back2SeatsTrainP1,
train2line3ArrivingP2S5,0:00:45,23:59:00,,trainTicketP2,,waitOnP2,
train2line3ArrivingP2S5,0:00:46,,,,,back2SeatsTrainP2,
train3line3ArrivingP2S5,0:00:45,23:59:00,,trainTicketP2,,waitOnP2,
train3line3ArrivingP2S5,0:00:46,,,,,back2SeatsTrainP2,
