From,To,Population,Time Offset,Curve,Avatar,Profile,Init Action,Give Tokens...
gateS5,train1ArrivingP1,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train1ArrivingP1,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,,waitOnP1,trainTicketP1
gateS5,train1ArrivingP1,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train1ArrivingP1,gateS5,30,,,Blue_LowPoly,slimFastActiv,,
train1ArrivingP1,gateS5,30,,,Green_LowPoly,,,
train1ArrivingP1,gateS5,30,,,Orange_LowPoly,fatSlowLazy,,
train1ArrivingP1,trainSeatsP2,20,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train1ArrivingP1,trainSeatsP2,20,,,Green_LowPoly,,waitOnP2,trainTicketP2
train1ArrivingP1,trainSeatsP2,20,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
gateS5,train2ArrivingP1,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train2ArrivingP1,60,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train2ArrivingP1,80,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train2ArrivingP1,trainSeatsP2,72,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,72,,,Orange_LowPoly,fatSlowLazy,,
train2ArrivingP1,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,3,,,Blue_LowPoly,slimFastActiv,,
train2ArrivingP1,trainSeatsP2,86,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,22,,,Green_LowPoly,DefaultProfile,,
gateS5,train2ArrivingP1,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train2ArrivingP1,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train2ArrivingP1,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train2ArrivingP1,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,25,,,Blue_LowPoly,slimFastActiv,,
train2ArrivingP1,trainSeatsP2,50,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,50,,,Green_LowPoly,DefaultProfile,,
train2ArrivingP1,trainSeatsP2,50,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train2ArrivingP1,gateS5,50,,,Orange_LowPoly,fatSlowLazy,,
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Blue_LowPoly,slimFastActiv,waitOnP1,trainTicketP1
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Green_LowPoly,DefaultProfile,waitOnP1,trainTicketP1
gateS5,train1line4ArrivingP1S5,50,-0:06:00,paxArrRateAtStn,Orange_LowPoly,fatSlowLazy,waitOnP1,trainTicketP1
train1line4ArrivingP1S5,trainSeatsP2,50,,,Green_LowPoly,DefaultProfile,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,50,,,Green_LowPoly,DefaultProfile,,
train1line4ArrivingP1S5,trainSeatsP2,25,,,Blue_LowPoly,slimFastActiv,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,25,,,Blue_LowPoly,slimFastActiv,,
train1line4ArrivingP1S5,trainSeatsP2,50,,,Orange_LowPoly,fatSlowLazy,waitOnP2,trainTicketP2
train1line4ArrivingP1S5,gateS5,50,,,Orange_LowPoly,fatSlowLazy,,
