timeFrom,timeTo,From,To,Population,Profile
0:00:00,23:59:59,gateS3,P1S3,50,slimFastActiv
0:00:00,23:59:59,gateS3,P1S3,50,DefaultProfile
0:00:00,23:59:59,gateS3,P1S3,50,fatSlowLazy
0:00:00,23:59:59,P1S3,gateS3,30,slimFastActiv
0:00:00,23:59:59,P1S3,gateS3,30,DefaultProfile
0:00:00,23:59:59,P1S3,gateS3,30,fatSlowLazy
0:00:00,23:59:59,P1S3,P2S3,30,slimFastActiv
0:00:00,23:59:59,P1S3,P2S3,30,DefaultProfile
0:00:00,23:59:59,P1S3,P2S3,30,fatSlowLazy
0:00:00,23:59:59,gateS3,P2S3,50,slimFastActiv
0:00:00,23:59:59,gateS3,P2S3,50,DefaultProfile
0:00:00,23:59:59,gateS3,P2S3,50,fatSlowLazy
0:00:00,23:59:59,P2S3,gateS3,30,slimFastActiv
0:00:00,23:59:59,P2S3,gateS3,30,DefaultProfile
0:00:00,23:59:59,P2S3,gateS3,30,fatSlowLazy
0:00:00,23:59:59,P2S3,P1S3,30,slimFastActiv
0:00:00,23:59:59,P2S3,P1S3,30,DefaultProfile
0:00:00,23:59:59,P2S3,P1S3,30,fatSlowLazy
